epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,254.647,1.51074,1.00308,1.1479,0.67867,0.44283,0.47689,0.23703,1.48087,1.08478,1.09671,0.000996097,0.000996097,0.000996097
6,499.597,1.48607,0.97717,1.13368,0.68466,0.44463,0.49667,0.23852,1.48635,0.9937,1.09155,0.000993906,0.000993906,0.000993906
7,744.061,1.46511,0.95241,1.12568,0.70289,0.45914,0.51709,0.25984,1.4636,0.9262,1.08105,0.000991232,0.000991232,0.000991232
8,995.476,1.452,0.93457,1.11529,0.69853,0.46714,0.52254,0.26295,1.44006,0.96436,1.07243,0.000988079,0.000988079,0.000988079
9,1276.67,1.45299,0.93146,1.11686,0.70376,0.49995,0.5333,0.26706,1.43621,0.92893,1.07466,0.000984449,0.000984449,0.000984449
10,1558.35,1.43921,0.92098,1.11188,0.71778,0.49319,0.56045,0.28695,1.42388,0.88248,1.06494,0.000980345,0.000980345,0.000980345
11,1823.64,1.42554,0.9034,1.10547,0.74927,0.49226,0.57969,0.28752,1.4236,1.02899,1.06455,0.000975773,0.000975773,0.000975773
12,2106.62,1.41975,0.89505,1.10351,0.74771,0.50658,0.56488,0.28917,1.41435,0.81824,1.05741,0.000970736,0.000970736,0.000970736
13,2378.03,1.41472,0.88981,1.09658,0.73838,0.52326,0.56987,0.2933,1.39797,0.8314,1.05283,0.000965239,0.000965239,0.000965239
14,2652.89,1.39913,0.87567,1.0911,0.76317,0.50487,0.57829,0.29783,1.40408,0.87246,1.04926,0.000959289,0.000959289,0.000959289
15,2905.55,1.39687,0.87342,1.08984,0.76684,0.5187,0.58416,0.30453,1.39179,0.83505,1.04297,0.000952889,0.000952889,0.000952889
16,3166.22,1.38812,0.86557,1.08845,0.78994,0.53276,0.60592,0.32145,1.38155,0.80145,1.04454,0.000946048,0.000946048,0.000946048
17,3445.81,1.38291,0.85552,1.08335,0.77122,0.53129,0.60294,0.31894,1.36545,0.81101,1.03854,0.000938772,0.000938772,0.000938772
18,3723.57,1.37449,0.8459,1.08199,0.76339,0.53664,0.6043,0.32234,1.35951,0.77901,1.03773,0.000931067,0.000931067,0.000931067
19,3988.47,1.36822,0.83827,1.07836,0.79111,0.53241,0.60843,0.32649,1.36161,0.77564,1.03729,0.000922942,0.000922942,0.000922942
20,4250.87,1.36225,0.83026,1.0774,0.73628,0.57695,0.64267,0.33819,1.34912,0.77687,1.03342,0.000914405,0.000914405,0.000914405
21,4526.46,1.35808,0.82767,1.07285,0.78377,0.55187,0.62821,0.33517,1.34367,0.7813,1.02409,0.000905463,0.000905463,0.000905463
22,4787.27,1.3529,0.82381,1.07095,0.80522,0.55549,0.66121,0.35087,1.33928,0.745,1.0274,0.000896127,0.000896127,0.000896127
23,5033.48,1.34789,0.81427,1.0685,0.79799,0.55537,0.64389,0.34682,1.32949,0.75056,1.02347,0.000886404,0.000886404,0.000886404
24,5279.82,1.34341,0.80889,1.06607,0.8129,0.5626,0.67234,0.36354,1.32492,0.74464,1.02209,0.000876305,0.000876305,0.000876305
25,5526.05,1.33566,0.80213,1.06406,0.81331,0.56596,0.67701,0.3652,1.32137,0.71778,1.02102,0.000865839,0.000865839,0.000865839
26,5772.7,1.33354,0.80075,1.06482,0.80328,0.57342,0.69498,0.37176,1.31667,0.71578,1.01776,0.000855018,0.000855018,0.000855018
27,6020.71,1.32435,0.7928,1.06019,0.8073,0.57944,0.6881,0.37064,1.31247,0.70985,1.01514,0.000843851,0.000843851,0.000843851
28,6267.43,1.32125,0.7877,1.05896,0.82223,0.57927,0.71767,0.38174,1.31017,0.70258,1.01422,0.000832349,0.000832349,0.000832349
29,6514.22,1.31418,0.78116,1.0547,0.76331,0.61502,0.71777,0.38028,1.30233,0.693,1.01112,0.000820525,0.000820525,0.000820525
30,6773.95,1.31742,0.78243,1.05525,0.82117,0.58541,0.7092,0.38101,1.30147,0.70269,1.00956,0.000808389,0.000808389,0.000808389
31,7052.43,1.30855,0.77582,1.05076,0.77329,0.63418,0.723,0.39321,1.29861,0.68805,1.00768,0.000795954,0.000795954,0.000795954
32,7341.45,1.30213,0.76881,1.04895,0.72057,0.66706,0.73402,0.39902,1.29177,0.68375,1.00567,0.000783231,0.000783231,0.000783231
33,7622.83,1.29623,0.76552,1.04786,0.76213,0.654,0.7265,0.39654,1.28588,0.68468,1.00481,0.000770234,0.000770234,0.000770234
34,7907.56,1.29529,0.76109,1.04494,0.80901,0.63717,0.72606,0.3942,1.2808,0.67982,1.00193,0.000756976,0.000756976,0.000756976
35,8179.71,1.29154,0.75619,1.04377,0.7525,0.65773,0.72726,0.39816,1.27806,0.68055,1.0008,0.000743468,0.000743468,0.000743468
36,8451.28,1.28292,0.74908,1.04062,0.76698,0.64761,0.72791,0.39956,1.27525,0.68609,0.99923,0.000729725,0.000729725,0.000729725
37,8737.11,1.27858,0.74902,1.04078,0.74332,0.66349,0.7293,0.40171,1.27348,0.68669,0.99837,0.000715761,0.000715761,0.000715761
38,9010.69,1.27786,0.74277,1.03925,0.73732,0.66833,0.73037,0.40392,1.27195,0.67799,0.9978,0.000701588,0.000701588,0.000701588
39,9292.95,1.27082,0.74073,1.03593,0.77715,0.65232,0.73352,0.40295,1.26718,0.67228,0.99597,0.000687222,0.000687222,0.000687222
40,9564.93,1.26898,0.73491,1.03582,0.79726,0.64573,0.7382,0.40522,1.26542,0.67296,0.99511,0.000672675,0.000672675,0.000672675
41,9831.19,1.26407,0.73265,1.03321,0.80949,0.64467,0.73839,0.40413,1.26286,0.66692,0.9937,0.000657963,0.000657963,0.000657963
42,10082,1.259,0.72847,1.03311,0.81673,0.64604,0.73976,0.40804,1.26146,0.66312,0.99301,0.000643101,0.000643101,0.000643101
43,10369.2,1.25437,0.72622,1.03059,0.81874,0.64869,0.74213,0.41344,1.25859,0.65978,0.99242,0.000628101,0.000628101,0.000628101
44,10661.7,1.25255,0.72546,1.0321,0.81493,0.65645,0.74314,0.41273,1.25654,0.65455,0.9918,0.000612981,0.000612981,0.000612981
45,10928.3,1.24963,0.72012,1.0299,0.81551,0.65924,0.74595,0.41516,1.25491,0.65085,0.99099,0.000597754,0.000597754,0.000597754
46,11206.2,1.24389,0.71535,1.02759,0.81098,0.66787,0.74717,0.41664,1.25286,0.6442,0.99064,0.000582435,0.000582435,0.000582435
47,11481.6,1.24131,0.71336,1.02555,0.81811,0.67133,0.74928,0.41818,1.25158,0.64058,0.99004,0.00056704,0.00056704,0.00056704
48,11756,1.23813,0.70903,1.02531,0.82466,0.67255,0.75226,0.42027,1.2495,0.63748,0.98944,0.000551584,0.000551584,0.000551584
49,12026.7,1.23444,0.70888,1.02193,0.82677,0.67505,0.75532,0.4226,1.2483,0.63548,0.98879,0.000536081,0.000536081,0.000536081
50,12298.5,1.22771,0.70058,1.01866,0.8294,0.67741,0.76082,0.42691,1.24701,0.63287,0.98814,0.000520548,0.000520548,0.000520548
51,12565.5,1.22419,0.69683,1.01844,0.83347,0.67622,0.76169,0.42812,1.2455,0.63188,0.98748,0.000505,0.000505,0.000505
52,12842.8,1.22014,0.69713,1.01632,0.83202,0.67839,0.76232,0.42879,1.24409,0.63059,0.9866,0.000489452,0.000489452,0.000489452
53,13117.7,1.21893,0.69214,1.01686,0.84968,0.6547,0.7604,0.42704,1.24289,0.62938,0.98624,0.000473919,0.000473919,0.000473919
54,13370.2,1.2164,0.69291,1.01629,0.84556,0.65813,0.76207,0.4279,1.24171,0.62819,0.98591,0.000458416,0.000458416,0.000458416
55,13602.2,1.21198,0.68638,1.01415,0.84535,0.65874,0.76275,0.42871,1.24057,0.62672,0.98539,0.00044296,0.00044296,0.00044296
